Emp ID,Working Since (Date),Gender,Work Type,Pay Grade,Current Resources,Mental Fatigue Score,Burn Rate,Employee Position
EMP030,2017-10-07,Male,Unorganised,2,10,6,7,Kitchen Helper
EMP031,2022-03-30,Female,Organised,0,3,8,6,Housekeeping Manager
EMP032,2021-05-01,Male,Unorganised,4,6,7,5,Cleaner
EMP033,2017-02-11,Male,Unorganised,2,8,6,4,Maintenance Staff
EMP034,2017-10-10,Female,Unorganised,4,3,1,2,Laundry Attendant
EMP035,2018-09-25,Male,Organised,0,9,3,8,Maintenance Staff
EMP036,2019-07-06,Female,Unorganised,2,9,10,8,Security Guard
EMP037,2018-07-28,Male,Organised,3,6,2,2,Security Guard
EMP038,2023-06-08,Female,Unorganised,3,4,1,4,Janitor
EMP039,2022-04-12,Male,Organised,1,1,1,6,Janitor
EMP040,2020-08-24,Male,Unorganised,1,5,10,2,Housekeeper
EMP041,2019-04-04,Male,Unorganised,0,10,8,6,Housekeeping Manager
EMP042,2019-04-14,Female,Organised,0,6,7,4,Security Guard
EMP043,2023-10-04,Male,Organised,3,8,8,1,Janitor
EMP044,2018-09-08,Female,Organised,3,9,3,5,Cook
EMP045,2017-11-12,Male,Unorganised,1,2,7,7,Housekeeping Manager
EMP046,2018-02-01,Male,Organised,3,1,5,5,Cleaner
EMP047,2020-06-16,Male,Organised,0,10,2,4,Laundry Attendant
EMP048,2022-01-18,Male,Unorganised,0,2,1,6,Kitchen Helper
EMP049,2019-01-02,Male,Organised,1,7,10,5,Kitchen Helper
EMP050,2022-01-18,Male,Organised,1,3,1,3,Laundry Attendant
EMP051,2019-04-08,Male,Unorganised,0,8,6,7,Kitchen Helper
EMP052,2022-02-09,Female,Organised,3,3,7,7,Cleaner
EMP053,2017-08-06,Female,Unorganised,4,8,9,6,Kitchen Helper
EMP054,2019-10-04,Female,Organised,4,7,4,7,Maintenance Staff
EMP055,2022-05-02,Male,Unorganised,0,8,4,5,Security Guard
EMP056,2022-03-16,Male,Unorganised,4,8,7,1,Cook
EMP057,2020-06-17,Female,Organised,3,3,4,8,Security Guard
EMP058,2022-06-03,Female,Organised,2,10,3,4,Kitchen Helper
EMP059,2018-06-29,Female,Unorganised,0,9,8,7,Cook
EMP060,2022-09-23,Female,Organised,4,6,6,5,Housekeeper
EMP061,2022-11-26,Female,Unorganised,4,6,3,7,Laundry Attendant
EMP062,2018-06-15,Female,Organised,2,2,7,7,Maintenance Staff
EMP063,2020-12-14,Male,Organised,0,6,6,6,Housekeeping Manager
EMP064,2022-12-06,Male,Unorganised,1,8,1,5,Housekeeping Manager
EMP065,2018-10-24,Male,Unorganised,0,7,10,1,Maintenance Staff
EMP066,2020-08-04,Female,Organised,0,9,8,1,Janitor
EMP067,2020-08-24,Female,Organised,1,1,7,8,Kitchen Helper
EMP068,2021-07-03,Female,Organised,3,9,6,3,Maintenance Staff
EMP069,2017-03-27,Female,Organised,1,5,7,6,Security Guard
EMP070,2020-02-10,Male,Unorganised,4,1,5,6,Cook
EMP071,2023-10-16,Female,Organised,2,5,8,8,Security Guard
EMP072,2022-07-23,Female,Unorganised,1,9,10,2,Housekeeper
EMP073,2023-11-27,Female,Organised,2,10,3,2,Cook
EMP074,2021-09-01,Female,Organised,4,9,7,4,Janitor
EMP075,2022-08-29,Female,Organised,2,3,6,2,Security Guard
EMP076,2023-01-26,Male,Unorganised,0,7,3,1,Janitor
EMP077,2018-07-31,Female,Unorganised,4,6,7,2,Janitor
EMP078,2019-09-24,Male,Unorganised,2,10,1,6,Cook
EMP079,2021-06-03,Female,Unorganised,4,7,6,3,Cleaner
EMP080,2020-08-09,Female,Organised,3,7,2,8,Maintenance Staff
EMP081,2018-03-02,Male,Unorganised,0,1,2,2,Housekeeper
EMP082,2017-01-12,Female,Unorganised,2,7,4,6,Housekeeping Manager
EMP083,2019-09-03,Female,Unorganised,0,7,9,4,Cook
EMP084,2023-06-16,Female,Unorganised,0,9,10,2,Janitor
EMP085,2023-06-04,Male,Organised,3,2,9,1,Security Guard
EMP086,2021-12-18,Male,Organised,4,8,5,2,Cook
EMP087,2023-06-19,Male,Organised,0,8,5,8,Housekeeping Manager
EMP088,2017-04-10,Female,Organised,2,8,7,1,Laundry Attendant
EMP089,2017-01-10,Female,Organised,1,2,2,3,Cleaner
EMP090,2018-04-05,Male,Organised,1,8,1,8,Housekeeping Manager
EMP091,2022-09-11,Male,Unorganised,3,1,2,1,Janitor
EMP092,2017-02-19,Female,Unorganised,2,7,8,3,Security Guard
EMP093,2017-05-23,Male,Unorganised,3,2,5,8,Kitchen Helper
EMP094,2020-04-01,Male,Unorganised,0,2,8,7,Laundry Attendant
EMP095,2021-12-15,Female,Unorganised,3,6,7,8,Cleaner
EMP096,2018-09-23,Male,Unorganised,1,1,3,7,Cook
EMP097,2023-03-14,Male,Organised,0,1,2,3,Housekeeper
EMP098,2020-04-28,Female,Organised,0,7,7,6,Maintenance Staff
EMP099,2017-09-14,Male,Organised,2,1,10,1,Janitor
EMP100,2022-11-01,Male,Unorganised,0,8,8,3,Housekeeping Manager
EMP101,2022-01-21,Female,Unorganised,4,1,9,7,Housekeeping Manager
EMP102,2021-01-24,Male,Unorganised,2,7,3,2,Housekeeper
EMP103,2021-02-06,Female,Unorganised,0,7,8,2,Cleaner
EMP104,2017-02-22,Female,Unorganised,4,7,4,8,Kitchen Helper
EMP105,2018-10-16,Female,Unorganised,4,5,1,3,Security Guard
EMP106,2020-04-04,Male,Unorganised,2,4,3,1,Maintenance Staff
EMP107,2019-05-13,Male,Unorganised,1,6,8,5,Janitor
EMP108,2023-01-14,Female,Unorganised,0,5,4,3,Security Guard
EMP109,2018-07-18,Male,Unorganised,2,10,3,8,Laundry Attendant
EMP110,2017-03-21,Male,Organised,2,6,5,5,Cleaner
EMP111,2017-04-03,Male,Unorganised,0,7,9,2,Cleaner
EMP112,2020-08-14,Female,Unorganised,1,8,10,2,Laundry Attendant
EMP113,2018-09-25,Female,Organised,4,2,9,4,Laundry Attendant
EMP114,2020-07-24,Male,Unorganised,0,5,2,1,Maintenance Staff
EMP115,2019-10-15,Male,Organised,4,3,3,3,Cleaner
EMP116,2022-05-29,Male,Organised,0,3,2,7,Kitchen Helper
EMP117,2022-12-10,Female,Organised,3,5,7,3,Kitchen Helper
EMP118,2021-04-16,Male,Unorganised,0,5,2,1,Security Guard
EMP119,2018-01-16,Female,Organised,4,6,4,8,Housekeeping Manager
EMP120,2020-08-24,Female,Organised,3,5,9,5,Cleaner
EMP121,2021-09-26,Female,Organised,2,5,8,2,Laundry Attendant
EMP122,2023-07-06,Male,Unorganised,0,4,5,1,Security Guard
EMP123,2020-11-14,Male,Organised,1,4,8,6,Kitchen Helper
EMP124,2017-10-06,Male,Organised,3,5,7,1,Maintenance Staff
EMP125,2018-10-24,Female,Organised,3,5,10,6,Kitchen Helper
EMP126,2018-03-13,Female,Unorganised,1,9,7,2,Security Guard
EMP127,2021-01-10,Male,Organised,3,6,7,8,Kitchen Helper
EMP128,2022-10-03,Male,Unorganised,2,8,7,1,Housekeeping Manager
EMP129,2022-10-26,Female,Organised,0,1,10,5,Cleaner
EMP130,2023-12-12,Female,Unorganised,3,7,10,7,Security Guard
EMP131,2017-04-18,Female,Unorganised,1,7,9,8,Cook
EMP132,2020-06-14,Male,Organised,1,2,4,8,Security Guard
EMP133,2018-04-22,Male,Unorganised,0,6,6,3,Housekeeping Manager
EMP134,2020-09-11,Female,Organised,2,6,2,2,Cleaner
EMP135,2018-07-14,Male,Organised,3,3,8,5,Cook
EMP136,2022-07-04,Male,Organised,4,6,8,2,Security Guard
EMP137,2022-08-19,Male,Unorganised,3,1,9,5,Janitor
EMP138,2017-10-01,Male,Unorganised,2,8,4,6,Laundry Attendant
EMP139,2022-08-22,Female,Organised,0,10,10,5,Cleaner
EMP140,2017-03-16,Female,Organised,1,3,5,7,Maintenance Staff
EMP141,2022-12-01,Male,Unorganised,2,2,5,1,Janitor
EMP142,2018-07-28,Female,Unorganised,1,7,1,4,Kitchen Helper
EMP143,2019-10-13,Male,Unorganised,4,1,4,7,Maintenance Staff
EMP144,2017-03-07,Female,Organised,1,7,5,2,Housekeeping Manager
EMP145,2021-02-05,Female,Organised,3,5,10,2,Maintenance Staff
EMP146,2017-08-17,Male,Unorganised,0,6,10,5,Security Guard
EMP147,2021-09-04,Female,Organised,4,5,9,7,Housekeeping Manager
EMP148,2019-02-10,Female,Organised,1,8,5,3,Cook
EMP149,2017-06-20,Male,Unorganised,0,3,9,2,Security Guard
EMP150,2018-09-20,Male,Unorganised,2,4,2,4,Cook
EMP151,2022-12-15,Female,Unorganised,1,2,10,2,Maintenance Staff
EMP152,2020-07-26,Male,Organised,4,10,6,6,Cleaner
EMP153,2019-06-24,Female,Unorganised,1,10,2,3,Laundry Attendant
EMP154,2018-04-15,Female,Unorganised,1,9,7,8,Housekeeper
EMP155,2023-06-03,Female,Organised,2,5,5,7,Housekeeper
EMP156,2019-08-03,Female,Organised,0,1,2,3,Cook
EMP157,2019-12-28,Female,Unorganised,2,4,5,6,Maintenance Staff
EMP158,2017-05-06,Male,Organised,3,3,9,5,Housekeeping Manager
EMP159,2020-01-01,Male,Organised,4,7,5,2,Maintenance Staff
EMP160,2018-11-16,Male,Organised,0,8,6,8,Security Guard
EMP161,2018-03-23,Female,Unorganised,1,10,9,8,Cleaner
EMP162,2022-02-23,Female,Unorganised,0,6,3,4,Housekeeper
EMP163,2019-11-26,Female,Organised,4,2,3,1,Housekeeper
EMP164,2023-10-21,Male,Organised,4,7,7,2,Maintenance Staff
EMP165,2022-02-06,Female,Organised,0,2,10,2,Janitor
EMP166,2020-09-07,Male,Organised,0,9,1,3,Maintenance Staff
EMP167,2023-02-14,Female,Unorganised,3,5,9,7,Housekeeper
EMP168,2019-05-29,Female,Unorganised,0,4,6,5,Maintenance Staff
EMP169,2023-03-16,Male,Organised,4,2,3,2,Maintenance Staff
EMP170,2023-02-04,Male,Unorganised,2,1,1,2,Janitor
EMP171,2017-03-07,Male,Unorganised,1,5,4,4,Housekeeping Manager
EMP172,2022-09-20,Male,Unorganised,4,6,4,7,Cleaner
EMP173,2019-08-25,Male,Organised,1,2,1,1,Housekeeper
EMP174,2020-03-18,Female,Unorganised,3,5,1,5,Laundry Attendant
EMP175,2018-09-19,Male,Organised,3,3,8,3,Maintenance Staff
EMP176,2017-01-31,Female,Organised,2,10,2,8,Laundry Attendant
EMP177,2018-04-21,Female,Organised,2,1,5,7,Cleaner
EMP178,2022-12-29,Female,Organised,3,5,7,3,Cook
EMP179,2019-02-14,Male,Organised,4,5,8,8,Kitchen Helper
EMP180,2018-01-06,Female,Organised,1,3,2,6,Cook
EMP181,2023-05-03,Male,Unorganised,0,4,10,8,Housekeeping Manager
EMP182,2018-01-05,Female,Organised,0,2,10,7,Janitor
EMP183,2022-12-30,Male,Unorganised,3,7,4,2,Housekeeper
EMP184,2021-10-06,Male,Organised,0,5,7,3,Security Guard
EMP185,2020-04-22,Female,Organised,3,7,9,3,Cleaner
EMP186,2018-08-28,Female,Unorganised,2,3,10,7,Cook
EMP187,2017-11-19,Male,Unorganised,4,1,5,3,Cleaner
EMP188,2022-08-23,Male,Organised,0,1,9,4,Housekeeper
EMP189,2018-12-11,Male,Organised,4,1,9,4,Kitchen Helper
EMP190,2017-01-17,Male,Unorganised,1,7,9,1,Janitor
EMP191,2023-11-09,Male,Organised,4,3,6,2,Kitchen Helper
EMP192,2022-06-20,Male,Organised,3,10,6,3,Cleaner
EMP193,2021-07-23,Female,Unorganised,3,2,9,3,Maintenance Staff
EMP194,2020-02-22,Male,Organised,1,3,7,6,Housekeeping Manager
EMP195,2017-07-01,Male,Organised,1,6,6,1,Janitor
EMP196,2022-12-20,Female,Unorganised,2,8,5,4,Housekeeper
EMP197,2023-07-18,Female,Organised,1,2,6,2,Laundry Attendant
EMP198,2020-09-16,Male,Organised,4,6,6,5,Housekeeping Manager
EMP199,2019-09-25,Female,Unorganised,0,6,1,3,Janitor
EMP200,2017-03-02,Male,Organised,2,6,4,4,Kitchen Helper
EMP201,2021-06-21,Female,Organised,1,3,6,4,Cook
EMP202,2018-07-22,Female,Organised,0,4,2,3,Cleaner
EMP203,2022-12-10,Male,Unorganised,3,5,2,5,Housekeeper
EMP204,2017-12-02,Male,Unorganised,2,5,5,8,Security Guard
EMP205,2017-12-21,Male,Organised,4,7,6,3,Cook
EMP206,2021-11-30,Female,Unorganised,0,9,1,5,Maintenance Staff
EMP207,2022-03-02,Female,Unorganised,3,4,5,2,Cook
EMP208,2021-12-08,Female,Organised,4,8,8,8,Kitchen Helper
EMP209,2022-06-04,Male,Unorganised,4,8,1,6,Housekeeping Manager
EMP210,2019-12-16,Male,Unorganised,1,6,6,2,Maintenance Staff
EMP211,2017-04-29,Female,Unorganised,1,8,3,7,Cook
EMP212,2023-08-25,Female,Organised,1,9,7,1,Cleaner
EMP213,2022-06-14,Female,Organised,4,7,1,2,Cook
EMP214,2018-05-01,Female,Unorganised,3,3,5,7,Maintenance Staff
EMP215,2020-08-22,Male,Organised,0,7,1,6,Laundry Attendant
EMP216,2018-06-09,Male,Unorganised,3,8,2,2,Security Guard
EMP217,2019-06-27,Male,Unorganised,4,8,8,2,Cook
EMP218,2023-05-10,Male,Organised,4,2,8,6,Kitchen Helper
EMP219,2023-10-05,Male,Organised,4,4,8,7,Kitchen Helper
EMP220,2018-09-02,Female,Unorganised,2,9,6,4,Laundry Attendant
EMP221,2023-12-23,Male,Organised,1,4,3,5,Security Guard
EMP222,2021-04-23,Male,Unorganised,3,7,4,2,Cook
EMP223,2017-09-26,Male,Organised,4,6,1,1,Kitchen Helper
EMP224,2017-09-01,Female,Organised,0,5,2,4,Housekeeper
EMP225,2021-04-16,Male,Unorganised,4,8,4,4,Housekeeper
EMP226,2018-03-09,Female,Organised,2,7,3,5,Laundry Attendant
EMP227,2021-02-01,Male,Organised,3,5,6,3,Kitchen Helper
EMP228,2022-01-30,Male,Organised,1,5,8,4,Cook
EMP229,2021-11-23,Female,Unorganised,2,9,5,7,Kitchen Helper
EMP230,2022-09-15,Male,Unorganised,4,3,5,6,Laundry Attendant
EMP231,2017-03-05,Female,Organised,3,2,4,6,Security Guard
EMP232,2023-01-16,Male,Organised,1,10,1,4,Maintenance Staff
EMP233,2020-10-28,Female,Organised,1,9,4,2,Janitor
EMP234,2022-02-13,Female,Organised,2,10,9,2,Cleaner
EMP235,2017-02-06,Female,Unorganised,2,7,3,3,Maintenance Staff
EMP236,2022-01-10,Male,Unorganised,1,3,6,4,Kitchen Helper
EMP237,2018-10-02,Male,Unorganised,0,8,3,6,Housekeeping Manager
EMP238,2022-06-30,Female,Organised,3,1,7,8,Cleaner
EMP239,2017-12-08,Female,Organised,4,7,7,6,Laundry Attendant
EMP240,2021-02-06,Male,Unorganised,2,9,9,3,Cook
EMP241,2020-01-25,Female,Unorganised,2,2,2,5,Maintenance Staff
EMP242,2021-06-21,Female,Unorganised,4,7,4,5,Security Guard
EMP243,2023-09-26,Male,Organised,3,1,10,4,Cook
EMP244,2018-11-16,Female,Unorganised,4,5,10,4,Kitchen Helper
EMP245,2017-04-24,Female,Organised,0,6,4,5,Housekeeper
EMP246,2020-04-23,Female,Organised,1,10,10,3,Laundry Attendant
EMP247,2022-09-09,Male,Organised,1,4,9,2,Maintenance Staff
EMP248,2023-11-09,Male,Organised,1,3,3,3,Cook
EMP249,2022-10-23,Male,Unorganised,4,8,3,6,Cook
EMP250,2017-12-31,Male,Organised,4,5,1,2,Housekeeping Manager
EMP251,2017-02-06,Male,Organised,0,2,3,2,Cook
EMP252,2018-01-26,Male,Organised,3,1,9,2,Janitor
EMP253,2020-12-14,Male,Organised,4,10,10,1,Cleaner
EMP254,2020-10-27,Female,Unorganised,1,1,3,3,Maintenance Staff
EMP255,2019-11-16,Female,Organised,2,1,10,1,Housekeeping Manager
EMP256,2019-05-17,Female,Organised,1,6,7,2,Housekeeper
EMP257,2017-09-12,Male,Unorganised,3,1,7,4,Security Guard
EMP258,2018-11-10,Female,Organised,0,1,9,3,Housekeeping Manager
EMP259,2021-03-12,Male,Unorganised,1,7,9,8,Cleaner
EMP260,2022-09-16,Female,Organised,4,1,5,7,Janitor
EMP261,2023-01-26,Male,Unorganised,4,5,10,3,Security Guard
EMP262,2023-08-25,Female,Organised,2,7,5,8,Maintenance Staff
EMP263,2020-02-19,Male,Organised,4,1,4,4,Housekeeper
EMP264,2022-07-31,Female,Organised,2,8,2,7,Housekeeping Manager
EMP265,2021-01-14,Male,Unorganised,0,4,10,2,Housekeeper
EMP266,2022-03-02,Female,Organised,1,3,9,8,Cleaner
EMP267,2022-08-28,Female,Unorganised,4,3,8,5,Cook
EMP268,2021-11-28,Male,Organised,3,3,8,2,Housekeeping Manager
EMP269,2023-03-19,Male,Organised,1,4,5,2,Cleaner
EMP270,2019-10-23,Female,Organised,0,9,8,4,Maintenance Staff
EMP271,2019-12-24,Male,Organised,0,7,3,1,Cleaner
EMP272,2021-01-25,Male,Unorganised,0,4,8,1,Kitchen Helper
EMP273,2023-02-25,Male,Organised,3,10,2,7,Security Guard
EMP274,2017-09-28,Male,Unorganised,2,10,2,4,Laundry Attendant
EMP275,2021-06-25,Male,Unorganised,4,10,3,7,Laundry Attendant
EMP276,2023-07-13,Male,Unorganised,0,7,8,1,Cook
EMP277,2021-09-17,Female,Unorganised,3,7,6,6,Cook
EMP278,2017-06-13,Male,Unorganised,4,7,9,2,Laundry Attendant
EMP279,2020-04-03,Male,Unorganised,2,10,9,4,Cleaner
EMP280,2020-05-20,Male,Organised,4,10,9,6,Janitor
EMP281,2021-01-25,Male,Unorganised,0,5,1,8,Security Guard
EMP282,2021-10-03,Male,Unorganised,3,2,6,8,Laundry Attendant
EMP283,2017-10-17,Female,Organised,1,8,6,4,Housekeeper
EMP284,2018-05-26,Male,Organised,1,10,4,7,Kitchen Helper
EMP285,2022-06-08,Female,Organised,3,8,5,2,Housekeeping Manager
EMP286,2020-08-29,Female,Organised,0,7,3,3,Housekeeping Manager
EMP287,2020-03-30,Male,Organised,3,10,7,3,Housekeeping Manager
EMP288,2021-02-13,Female,Organised,4,10,7,8,Housekeeping Manager
EMP289,2017-01-09,Female,Unorganised,4,5,2,6,Janitor
EMP290,2019-03-11,Female,Unorganised,0,9,5,1,Cleaner
EMP291,2021-01-26,Male,Unorganised,2,7,10,2,Security Guard
EMP292,2020-12-26,Female,Organised,1,10,8,8,Laundry Attendant
EMP293,2023-02-05,Male,Unorganised,0,4,3,7,Housekeeper
EMP294,2018-08-17,Female,Organised,1,10,4,5,Housekeeper
EMP295,2023-01-18,Female,Unorganised,3,8,6,6,Housekeeping Manager
EMP296,2023-06-25,Female,Organised,2,5,3,5,Laundry Attendant
EMP297,2017-07-28,Male,Unorganised,1,3,5,7,Kitchen Helper
EMP298,2021-02-11,Male,Unorganised,2,1,6,3,Cook
EMP299,2022-01-13,Female,Organised,3,7,4,8,Housekeeper
EMP300,2021-09-20,Female,Unorganised,2,6,3,6,Laundry Attendant
EMP301,2022-07-26,Female,Organised,3,7,3,8,Maintenance Staff
EMP302,2017-01-10,Male,Organised,1,7,4,7,Maintenance Staff
EMP303,2021-11-20,Male,Unorganised,0,4,7,2,Laundry Attendant
EMP304,2018-10-12,Male,Organised,1,8,5,4,Housekeeping Manager
EMP305,2017-10-19,Male,Unorganised,0,2,5,7,Cook
EMP306,2021-12-15,Female,Unorganised,1,10,3,3,Cook
EMP307,2019-04-18,Female,Unorganised,3,3,10,6,Security Guard
EMP308,2018-10-25,Female,Unorganised,1,7,8,8,Housekeeping Manager
EMP309,2021-02-20,Female,Organised,1,7,6,5,Kitchen Helper
EMP310,2021-08-30,Female,Unorganised,2,2,1,6,Laundry Attendant
EMP311,2020-03-13,Male,Organised,4,8,1,6,Janitor
EMP312,2023-09-09,Male,Organised,1,3,1,4,Laundry Attendant
EMP313,2019-10-23,Female,Unorganised,4,3,9,8,Security Guard
EMP314,2018-02-21,Female,Organised,3,7,1,4,Housekeeping Manager
EMP315,2023-05-13,Male,Organised,0,6,9,8,Housekeeping Manager
EMP316,2018-12-25,Male,Unorganised,4,7,2,8,Kitchen Helper
EMP317,2020-04-11,Male,Organised,1,4,9,5,Janitor
EMP318,2019-04-29,Male,Organised,0,3,10,5,Housekeeping Manager
EMP319,2020-07-26,Male,Unorganised,3,10,10,3,Security Guard
EMP320,2019-06-17,Female,Unorganised,2,6,1,5,Housekeeper
EMP321,2018-09-06,Male,Organised,2,7,2,1,Housekeeper
EMP322,2023-01-23,Female,Organised,0,5,8,1,Housekeeper
EMP323,2021-07-24,Male,Organised,0,1,7,5,Cook
EMP324,2017-11-06,Male,Unorganised,4,5,8,1,Cleaner
EMP325,2019-08-07,Male,Organised,3,8,3,5,Janitor
EMP326,2019-08-23,Male,Unorganised,0,2,3,4,Security Guard
EMP327,2018-12-31,Female,Organised,2,10,7,2,Housekeeping Manager
EMP328,2019-10-18,Male,Organised,2,9,2,7,Cleaner
EMP329,2017-12-19,Female,Unorganised,3,5,2,6,Housekeeping Manager
EMP330,2020-08-05,Female,Unorganised,4,6,6,8,Security Guard
EMP331,2017-06-26,Female,Unorganised,3,3,7,3,Cook
EMP332,2021-06-02,Female,Unorganised,4,7,5,1,Cook
EMP333,2018-03-04,Male,Unorganised,0,10,6,7,Maintenance Staff
EMP334,2021-07-03,Male,Organised,2,10,10,4,Security Guard
EMP335,2019-02-20,Male,Organised,0,8,8,7,Housekeeping Manager
EMP336,2017-02-28,Female,Organised,1,6,10,7,Cleaner
EMP337,2020-08-31,Male,Unorganised,3,3,5,5,Laundry Attendant
EMP338,2018-03-22,Female,Unorganised,3,7,7,8,Housekeeping Manager
EMP339,2017-06-30,Female,Unorganised,4,1,5,5,Janitor
EMP340,2023-05-11,Male,Unorganised,2,10,7,1,Housekeeper
EMP341,2022-04-20,Male,Unorganised,4,1,8,4,Cook
EMP342,2020-12-27,Female,Unorganised,3,7,2,2,Cook
EMP343,2020-03-03,Female,Unorganised,2,2,3,7,Kitchen Helper
EMP344,2017-12-20,Male,Unorganised,1,6,10,6,Housekeeper
EMP345,2021-02-08,Male,Unorganised,3,6,3,7,Cook
EMP346,2018-09-19,Male,Unorganised,0,6,3,8,Janitor
EMP347,2023-10-28,Female,Unorganised,1,2,6,6,Laundry Attendant
EMP348,2018-11-29,Female,Unorganised,0,2,6,6,Cook
EMP349,2022-07-04,Female,Unorganised,3,7,10,7,Housekeeping Manager
EMP350,2021-09-28,Female,Unorganised,0,3,9,2,Housekeeper
EMP351,2023-04-23,Female,Unorganised,3,3,7,4,Janitor
EMP352,2021-02-17,Female,Organised,1,1,2,6,Laundry Attendant
EMP353,2017-07-17,Male,Unorganised,3,8,7,7,Laundry Attendant
EMP354,2021-03-17,Male,Unorganised,4,10,8,7,Security Guard
EMP355,2018-04-16,Male,Organised,1,10,5,1,Housekeeper
EMP356,2022-09-26,Female,Unorganised,1,2,4,7,Housekeeping Manager
EMP357,2020-08-23,Male,Unorganised,4,8,5,5,Cook
EMP358,2020-11-08,Female,Organised,3,1,6,5,Housekeeper
EMP359,2018-07-31,Male,Organised,1,9,5,6,Cook
EMP360,2019-07-19,Female,Unorganised,3,8,4,7,Cleaner
EMP361,2023-04-04,Female,Organised,1,3,10,4,Janitor
EMP362,2018-06-12,Male,Unorganised,2,3,5,7,Cleaner
EMP363,2018-09-24,Female,Unorganised,4,10,1,2,Housekeeper
EMP364,2022-04-11,Female,Organised,4,7,1,6,Housekeeper
EMP365,2020-05-15,Female,Organised,2,7,5,2,Cleaner
EMP366,2023-06-22,Male,Organised,1,3,1,2,Housekeeping Manager
EMP367,2022-02-14,Male,Organised,3,4,7,6,Security Guard
EMP368,2023-07-19,Male,Organised,2,7,1,8,Security Guard
EMP369,2020-04-18,Female,Organised,4,8,9,6,Maintenance Staff
EMP370,2017-12-31,Male,Organised,1,2,4,5,Kitchen Helper
EMP371,2021-06-12,Male,Organised,4,10,1,2,Kitchen Helper
EMP372,2018-02-25,Female,Organised,2,1,6,8,Laundry Attendant
EMP373,2017-09-29,Male,Organised,0,7,8,2,Cleaner
EMP374,2022-10-15,Female,Organised,2,5,2,1,Cook
EMP375,2019-09-22,Male,Organised,1,4,6,7,Cook
EMP376,2020-04-12,Female,Organised,4,7,5,4,Cook
EMP377,2018-10-10,Female,Organised,3,8,6,3,Kitchen Helper
EMP378,2017-07-17,Female,Unorganised,3,7,1,4,Cook
EMP379,2019-04-06,Male,Organised,3,4,5,3,Kitchen Helper
EMP380,2022-02-08,Male,Unorganised,4,9,6,3,Kitchen Helper
EMP381,2018-12-19,Male,Unorganised,1,7,9,7,Housekeeper
EMP382,2019-06-25,Female,Organised,0,5,8,2,Housekeeper
EMP383,2019-03-10,Male,Unorganised,4,10,6,5,Janitor
EMP384,2019-04-29,Male,Unorganised,1,4,1,3,Cook
EMP385,2018-01-08,Male,Organised,1,10,10,2,Janitor
EMP386,2018-01-30,Male,Unorganised,3,4,6,1,Housekeeping Manager
EMP387,2018-11-07,Male,Organised,1,1,9,1,Housekeeper
EMP388,2019-11-15,Female,Organised,3,8,4,4,Laundry Attendant
EMP389,2017-07-06,Female,Unorganised,1,5,6,1,Security Guard
EMP390,2023-01-18,Female,Organised,0,2,2,3,Cook
EMP391,2017-02-28,Male,Unorganised,0,1,3,2,Laundry Attendant
EMP392,2022-12-21,Female,Organised,0,8,7,6,Kitchen Helper
EMP393,2023-03-02,Male,Unorganised,2,1,2,5,Maintenance Staff
EMP394,2017-05-29,Male,Unorganised,0,6,2,6,Housekeeping Manager
