Working Since (Date),Gender,Work Type,Pay Grade,Current Resources,Mental Fatigue Score,Burn Rate,Employee Position
2022-03-05,Female,Organised,0,7,4,0.28,Maintenance Staff
2022-11-01,Male,Unorganised,2,1,6,0.2,Maintenance Staff
2018-08-03,Male,Unorganised,4,4,6.2,0.43,Janitor
2019-05-11,Female,Organised,2,9,6,0.79,Maintenance Staff
2018-09-07,Female,Unorganised,1,7,1.8,0.6,Security Guard
2022-04-01,Female,Organised,1,5,4.7,0.56,Laundry Attendant
2020-09-10,Male,Organised,1,1,6.2,0.76,Security Guard
2023-05-21,Male,Unorganised,0,7,4.4,0.68,Security Guard
2018-07-29,Female,Organised,1,3,7,0.19,Maintenance Staff
2024-02-09,Male,Organised,4,1,7.7,0.67,Cook
2019-12-12,Male,Organised,2,10,7.3,0.26,Janitor
2024-07-22,Female,Organised,3,8,5.1,0.59,Housekeeper
2018-04-28,Female,Organised,4,4,6.6,0.76,Maintenance Staff
2019-08-18,Female,Unorganised,3,7,6.1,0.65,Laundry Attendant
2022-09-20,Female,Organised,0,7,5.4,0.19,Maintenance Staff
2018-10-03,Male,Organised,2,6,6.7,0.18,Janitor
2019-03-12,Male,Organised,4,2,4.9,0.5,Kitchen Helper
2021-11-24,Male,Unorganised,2,8,8.3,0.44,Cleaner
2024-01-22,Male,Organised,0,8,0.8,0.04,Housekeeping Manager
2022-07-05,Male,Organised,0,2,6.5,0.26,Maintenance Staff
2019-02-01,Male,Unorganised,1,10,7.4,0.2,Housekeeper
2018-05-26,Male,Unorganised,4,9,6.5,0.42,Maintenance Staff
2018-11-02,Male,Unorganised,2,2,5.3,0.11,Housekeeping Manager
2022-08-01,Female,Organised,4,8,3.8,0.85,Housekeeping Manager
2023-07-07,Male,Unorganised,1,7,4.4,0.43,Cleaner
2021-02-03,Female,Organised,3,10,8.2,0.44,Janitor
2022-11-29,Female,Organised,1,5,4,0,Cleaner
2023-05-17,Male,Organised,3,1,5.8,0.62,Kitchen Helper
2019-06-26,Female,Organised,2,8,6.7,0.04,Janitor
2020-05-26,Female,Organised,0,3,4.7,0.53,Janitor
2021-10-04,Male,Unorganised,3,5,5,0.65,Housekeeper
2018-06-05,Female,Organised,1,7,7.6,0.22,Janitor
2022-10-05,Female,Unorganised,0,4,6.2,0.12,Housekeeping Manager
2022-11-12,Male,Unorganised,2,5,4.9,0.37,Security Guard
2018-09-22,Male,Organised,4,7,7.6,0.48,Kitchen Helper
2018-10-08,Female,Organised,0,6,4.4,0.65,Cook
2024-08-24,Female,Organised,0,10,4.9,0.27,Janitor
2023-06-30,Female,Organised,3,6,8.3,0.5,Laundry Attendant
2020-12-23,Female,Unorganised,0,2,8.3,0.46,Laundry Attendant
2023-02-25,Male,Unorganised,3,2,7.5,0.94,Cleaner
2019-08-20,Male,Organised,3,1,4.7,0.62,Kitchen Helper
2021-07-27,Male,Organised,0,8,6.9,0.66,Laundry Attendant
2018-05-23,Male,Organised,4,6,4.1,0.91,Cook
2023-05-11,Female,Unorganised,3,6,5.9,0.05,Cook
2020-07-02,Female,Unorganised,2,1,2.6,0.46,Cleaner
2022-01-08,Female,Organised,1,10,4.9,0.41,Security Guard
2021-04-04,Male,Unorganised,4,3,3.9,0.39,Cook
2018-11-14,Female,Unorganised,2,2,5.3,0.63,Housekeeping Manager
2024-05-03,Male,Organised,0,9,4.4,0.15,Housekeeping Manager
2019-11-17,Female,Organised,1,1,7.6,0.63,Security Guard
2024-05-11,Female,Organised,3,5,3.6,0.45,Janitor
2023-12-08,Female,Organised,1,6,6,0.33,Security Guard
2024-03-17,Female,Organised,0,9,4.9,0.16,Housekeeper
2018-01-07,Male,Unorganised,0,2,6.4,0.94,Housekeeping Manager
2022-08-16,Female,Organised,4,8,1.8,0.45,Janitor
2022-04-10,Female,Unorganised,1,5,6.9,0.4,Housekeeping Manager
2024-07-20,Female,Organised,4,2,4.3,0.6,Housekeeper
2019-01-22,Female,Organised,1,2,5.3,0.49,Cleaner
2021-12-24,Male,Organised,4,6,5.8,0.16,Housekeeping Manager
2023-10-09,Female,Organised,3,5,9.2,0.48,Security Guard
2024-04-19,Male,Unorganised,3,10,5.3,0.2,Cleaner
2024-08-22,Male,Organised,3,3,6.3,0.85,Maintenance Staff
2022-03-05,Female,Unorganised,3,1,5.5,0.4,Security Guard
2022-10-29,Female,Unorganised,0,6,0,0.26,Cook
2019-05-15,Female,Organised,2,9,3.8,0.53,Housekeeping Manager
2023-12-24,Female,Organised,2,4,5.7,0.8,Kitchen Helper
2021-03-07,Female,Unorganised,4,9,3.8,0.26,Kitchen Helper
2022-05-17,Male,Unorganised,2,10,8.7,0.72,Kitchen Helper
2024-06-19,Male,Unorganised,3,3,6.5,0.5,Cleaner
2018-02-25,Male,Organised,1,5,6.1,0.45,Housekeeper
2021-09-23,Male,Unorganised,3,9,4.7,0.48,Housekeeping Manager
2021-06-01,Male,Organised,2,2,8,0.04,Kitchen Helper
2020-09-05,Male,Organised,4,10,7.7,0.51,Cook
2021-08-30,Female,Unorganised,3,6,7.9,0.51,Cleaner
2023-03-03,Male,Unorganised,3,5,10,0.46,Housekeeping Manager
2022-11-12,Male,Organised,4,4,6.6,0.7,Kitchen Helper
2022-03-13,Female,Unorganised,2,4,5.4,0.63,Cook
2019-04-19,Female,Organised,3,8,5.4,0.47,Laundry Attendant
2022-12-27,Female,Unorganised,4,8,6,0.48,Maintenance Staff
2023-05-19,Female,Organised,2,4,3.9,0.41,Maintenance Staff
2022-07-21,Female,Unorganised,0,4,2,0.59,Housekeeping Manager
2024-02-10,Female,Organised,4,9,7.5,0.53,Cook
2018-04-17,Female,Unorganised,1,10,6.7,0.47,Maintenance Staff
2021-01-23,Female,Unorganised,1,1,6.4,0.55,Cleaner
2024-07-08,Female,Organised,1,4,5,0.04,Laundry Attendant
2018-03-18,Male,Unorganised,1,2,0.8,0.37,Maintenance Staff
2024-03-17,Male,Organised,3,1,3,0.12,Laundry Attendant
2023-05-17,Female,Organised,1,2,6.2,0.55,Kitchen Helper
2023-03-20,Male,Unorganised,4,6,6.2,0.66,Cook
2018-02-04,Male,Unorganised,1,10,4.4,0.04,Laundry Attendant
2021-12-18,Male,Organised,3,3,3.9,0.61,Kitchen Helper
2018-11-09,Female,Organised,0,3,7.7,0.36,Cook
2021-03-02,Female,Unorganised,1,8,8.2,0.85,Kitchen Helper
2024-02-18,Male,Unorganised,4,3,4.3,0.27,Laundry Attendant
2021-11-06,Female,Unorganised,0,7,4.7,0.19,Cook
2021-09-03,Male,Organised,1,4,8,0.29,Security Guard
2019-10-25,Female,Unorganised,4,8,7,0.38,Laundry Attendant
2021-06-20,Male,Organised,2,8,2.9,0.26,Kitchen Helper
2024-02-27,Male,Unorganised,4,9,6.3,0.57,Cleaner
2018-05-10,Male,Unorganised,4,4,8.3,0.62,Kitchen Helper
2018-08-02,Male,Unorganised,2,1,7.3,0.85,Janitor
2018-06-15,Female,Organised,0,1,5.5,0.43,Housekeeper
2019-12-23,Female,Organised,0,6,7.7,0.68,Maintenance Staff
2024-09-30,Female,Organised,3,9,5,0.35,Maintenance Staff
2022-10-12,Female,Organised,2,1,0,0.04,Cook
2022-11-05,Male,Organised,1,9,5.6,0.4,Cook
2024-02-01,Female,Organised,3,6,6.5,0.85,Cleaner
2022-10-01,Male,Organised,1,2,2.6,0.33,Housekeeper
2019-06-20,Female,Organised,4,1,5.3,0.72,Security Guard
2019-08-20,Male,Organised,2,4,7,0.34,Cook
2022-09-25,Male,Organised,0,6,6.3,0.4,Cleaner
2020-07-21,Female,Organised,0,2,2,0.04,Housekeeping Manager
2020-10-08,Female,Organised,0,5,3.1,0.57,Kitchen Helper
2022-06-19,Female,Organised,0,10,2.9,0.85,Housekeeping Manager
2021-02-09,Female,Organised,2,8,4,0.41,Housekeeper
2024-09-01,Female,Unorganised,4,2,5,0.12,Cook
2020-06-10,Male,Unorganised,1,8,7,0.33,Janitor
2019-07-19,Male,Unorganised,4,4,7,0.72,Housekeeper
2022-01-12,Female,Organised,0,4,0.8,0.31,Cook
2020-04-18,Female,Unorganised,2,8,3.8,0.4,Housekeeper
2023-03-06,Female,Organised,0,10,3.6,0.48,Housekeeping Manager
2024-09-08,Female,Unorganised,2,2,3,0.11,Cleaner
2022-05-16,Male,Unorganised,4,8,4.1,0.79,Cook
2023-12-27,Male,Unorganised,0,2,9.2,0.16,Kitchen Helper
2020-09-29,Female,Organised,0,9,3.9,0.04,Housekeeping Manager
2023-02-14,Male,Unorganised,2,10,8,0.94,Housekeeper
2018-08-09,Male,Unorganised,1,6,6.6,0.32,Kitchen Helper
2022-11-25,Male,Organised,1,7,6,0.05,Laundry Attendant
2023-08-19,Female,Unorganised,1,4,6.6,0.38,Housekeeper
2023-05-11,Female,Unorganised,3,3,5.4,0.22,Kitchen Helper
2024-05-20,Male,Unorganised,4,7,3.1,0.6,Housekeeper
2024-07-03,Female,Unorganised,1,9,5.6,0.16,Kitchen Helper
2022-02-01,Female,Unorganised,4,6,7.9,0.46,Cleaner
2018-10-02,Female,Organised,0,8,2,0.8,Housekeeper
2021-08-07,Female,Unorganised,2,5,6.1,0.26,Housekeeping Manager
2022-12-13,Male,Unorganised,2,5,6.3,0.39,Housekeeper
2020-10-11,Male,Organised,2,10,6.4,0.56,Maintenance Staff
2021-01-03,Male,Unorganised,1,10,6,0.65,Kitchen Helper
2019-08-11,Male,Unorganised,2,1,7.3,0.31,Housekeeping Manager
2024-06-30,Female,Organised,2,5,8,0.67,Cook
2023-02-07,Male,Unorganised,4,6,4,0.19,Cleaner
2023-06-27,Female,Unorganised,0,10,5.8,0.49,Janitor
2022-11-03,Male,Organised,2,10,6.8,0.7,Maintenance Staff
2018-09-27,Male,Unorganised,4,6,4.3,0.4,Cleaner
2021-10-27,Female,Organised,1,3,7,0.28,Cook
2021-12-22,Male,Organised,0,5,7.9,0.27,Cleaner
2024-07-24,Male,Unorganised,0,1,9.2,0.6,Housekeeper
2019-12-27,Male,Organised,0,4,6.1,0.65,Janitor
2022-03-02,Female,Unorganised,4,2,2,0.31,Laundry Attendant
2018-08-29,Female,Unorganised,1,5,8.7,0.57,Laundry Attendant
2018-01-16,Male,Unorganised,4,8,4.3,0.66,Cleaner
2022-08-08,Female,Organised,3,1,10,0.16,Kitchen Helper
2020-01-02,Male,Unorganised,4,5,9.2,0.28,Laundry Attendant
2024-05-31,Male,Unorganised,2,9,3.1,0.66,Kitchen Helper
2021-09-05,Male,Unorganised,2,2,6.7,0.48,Maintenance Staff
2019-12-27,Female,Unorganised,3,8,7.9,0.59,Security Guard
2018-03-20,Female,Organised,1,10,3.1,0.8,Laundry Attendant
2019-12-30,Female,Unorganised,3,1,10,0.63,Security Guard
2021-10-07,Female,Organised,4,9,5.7,0.36,Kitchen Helper
2023-12-14,Male,Organised,1,6,5.1,0.42,Cook
2018-01-11,Female,Organised,2,1,5.4,0.05,Housekeeper
2019-07-08,Male,Unorganised,4,2,6.4,0.68,Maintenance Staff
2021-12-16,Female,Organised,3,6,7.5,0.51,Maintenance Staff
2020-07-31,Female,Organised,3,4,6,0.6,Janitor
2022-06-18,Male,Unorganised,0,2,2.6,0.71,Cleaner
2018-02-23,Male,Unorganised,2,3,5.5,0.81,Cook
2023-12-23,Female,Organised,0,4,7.9,0.79,Housekeeping Manager
2024-08-14,Female,Unorganised,4,7,4.1,0.7,Housekeeper
2020-01-26,Female,Organised,3,9,4.7,0.48,Housekeeping Manager
2021-12-23,Male,Organised,1,2,4.4,0.51,Laundry Attendant
2020-09-18,Female,Organised,4,9,6.6,0.35,Cleaner
2018-08-21,Female,Unorganised,3,10,4.7,0.57,Housekeeping Manager
2019-07-26,Male,Unorganised,3,7,2,0.79,Housekeeper
2019-06-29,Female,Unorganised,1,6,5.5,0.47,Housekeeper
2023-07-12,Female,Organised,4,4,3.8,0.76,Housekeeping Manager
2018-01-09,Female,Unorganised,1,4,9.2,0.94,Maintenance Staff
2018-09-19,Male,Unorganised,0,4,5,0.19,Laundry Attendant
2022-11-17,Female,Unorganised,4,5,6.4,0.28,Cook
2021-05-08,Male,Organised,2,7,0.8,0.12,Cook
2018-08-02,Female,Unorganised,1,7,2.6,0.68,Cleaner
2020-05-12,Male,Organised,4,6,5.1,0.4,Cleaner
2019-11-25,Female,Unorganised,3,6,2,0.05,Housekeeper
2020-03-07,Male,Unorganised,0,6,7.5,0.66,Housekeeping Manager
2022-03-02,Female,Unorganised,0,6,6.6,0.56,Kitchen Helper
2020-07-14,Female,Organised,3,10,3.6,0.28,Cook
2024-02-08,Female,Unorganised,1,8,7.5,0.91,Kitchen Helper
2021-11-19,Female,Organised,0,7,7.9,0.16,Laundry Attendant
2020-04-24,Male,Organised,1,2,4,0.41,Maintenance Staff
2022-03-09,Male,Unorganised,4,4,4.1,0.94,Laundry Attendant
2022-03-05,Female,Organised,2,5,5.7,0.55,Cook
2019-01-24,Male,Organised,4,9,1.8,0.52,Cleaner
2018-01-30,Male,Unorganised,3,3,6.6,0.31,Housekeeping Manager
2024-10-30,Female,Unorganised,3,1,4.3,0.49,Kitchen Helper
2021-03-13,Male,Unorganised,2,5,8.3,0.42,Housekeeper
2020-10-20,Male,Unorganised,1,1,3.6,0.31,Housekeeper
2020-04-28,Male,Organised,4,2,4.9,0.29,Janitor
2021-06-20,Male,Unorganised,4,6,6.9,0.33,Cleaner
2020-05-27,Female,Unorganised,2,9,6.6,0.79,Housekeeping Manager
2021-03-09,Female,Unorganised,3,2,7,0.59,Laundry Attendant
2023-01-27,Male,Unorganised,0,6,7.5,0.81,Maintenance Staff
2022-04-14,Male,Organised,4,6,3.9,0.45,Kitchen Helper
2018-09-09,Female,Unorganised,1,4,4.1,0.2,Cleaner
2022-12-01,Female,Unorganised,0,9,4.3,0.91,Cleaner
2018-10-02,Male,Organised,2,4,4.3,0.6,Security Guard
2023-01-07,Female,Unorganised,4,10,6.5,0.28,Maintenance Staff
2021-03-19,Male,Unorganised,3,7,4.1,0.18,Cook
2022-08-15,Male,Organised,2,2,5.9,0.56,Housekeeping Manager
2022-01-25,Female,Organised,3,4,9.2,0.33,Housekeeper
2018-05-20,Male,Unorganised,4,3,9.1,0.6,Laundry Attendant
2021-05-26,Female,Organised,4,10,8.3,0.57,Housekeeping Manager
2024-07-11,Male,Unorganised,0,5,6.9,0.41,Cook
2018-02-19,Male,Organised,4,4,3.6,0.6,Security Guard
2021-05-18,Male,Organised,0,4,6.3,0.15,Maintenance Staff
2023-12-20,Female,Unorganised,3,4,3.6,0.51,Laundry Attendant
2018-01-27,Male,Organised,0,8,5.3,0.49,Housekeeping Manager
2024-03-22,Female,Organised,1,1,5.1,0.15,Kitchen Helper
2018-09-02,Male,Unorganised,1,4,3.6,0.42,Cleaner
2023-02-06,Female,Unorganised,2,8,0,0.36,Laundry Attendant
2019-06-01,Male,Unorganised,4,8,5.8,0.91,Housekeeping Manager
2018-12-10,Male,Unorganised,4,8,6.3,0.42,Security Guard
2019-12-19,Male,Organised,3,4,7.6,0.45,Cook
2024-07-01,Female,Unorganised,1,10,3.8,0.79,Janitor
2021-03-25,Male,Organised,3,10,5.8,0.71,Maintenance Staff
2022-07-07,Male,Unorganised,0,10,9.2,0.47,Security Guard
2022-06-16,Female,Unorganised,3,2,10,0.22,Security Guard
2022-08-08,Male,Unorganised,3,4,6.1,0.15,Janitor
2022-05-14,Male,Organised,2,7,7.9,0.56,Laundry Attendant
2018-03-10,Male,Organised,1,4,6.1,0.16,Housekeeping Manager
2020-02-23,Female,Organised,2,5,6.2,0.34,Maintenance Staff
2020-01-20,Male,Organised,1,2,3,0.05,Cleaner
2018-04-21,Female,Organised,2,8,5.5,0.79,Cook
2023-10-30,Male,Unorganised,1,7,7.6,0.12,Cleaner
2020-09-09,Female,Organised,2,6,6.1,0.55,Security Guard
2022-05-27,Female,Organised,3,6,0,0.76,Housekeeper
2020-06-10,Female,Unorganised,0,7,3.1,0.45,Kitchen Helper
2023-11-20,Female,Organised,1,3,5.4,0.91,Cleaner
2023-12-10,Male,Unorganised,2,10,8.7,0.65,Laundry Attendant
2024-10-01,Male,Unorganised,1,8,5.8,0.43,Cook
2019-08-25,Female,Organised,2,9,5.3,0.19,Kitchen Helper
2024-02-07,Female,Organised,1,5,6.6,0.37,Laundry Attendant
2021-08-28,Male,Unorganised,2,5,6.4,0.94,Security Guard
2019-04-10,Male,Unorganised,2,6,6.6,0.51,Maintenance Staff
2020-01-29,Female,Unorganised,4,9,5.5,0.79,Laundry Attendant
2024-06-28,Female,Unorganised,4,3,6,0.4,Kitchen Helper
2024-12-16,Male,Unorganised,4,5,0,0.52,Kitchen Helper
2024-02-11,Male,Unorganised,4,5,8.7,0.44,Housekeeper
2019-12-03,Female,Organised,0,6,7.9,0.38,Security Guard
2021-07-03,Male,Unorganised,2,4,5.6,0.38,Security Guard
2018-10-16,Male,Unorganised,3,2,6.7,0.62,Housekeeping Manager
2023-10-20,Male,Organised,4,6,5.7,0.7,Kitchen Helper
2021-01-24,Male,Organised,3,8,5.8,0.43,Security Guard
2024-10-23,Female,Organised,3,4,6,0.35,Security Guard
2018-06-10,Male,Organised,4,9,2.9,0.45,Housekeeping Manager
2022-03-02,Male,Organised,3,5,6,0.52,Janitor
2022-05-12,Male,Unorganised,1,5,5.6,0.81,Janitor
2019-08-18,Male,Unorganised,2,3,3,0.37,Cook
2022-10-16,Female,Unorganised,1,4,4,0.35,Housekeeping Manager
2018-10-17,Male,Organised,3,2,6.7,0.36,Laundry Attendant
2020-12-29,Female,Organised,0,4,3,0.36,Housekeeping Manager
2021-10-24,Male,Organised,0,4,9.2,0.19,Housekeeping Manager
2018-05-10,Female,Organised,4,3,7.4,0.94,Laundry Attendant
2018-05-21,Female,Unorganised,1,7,2.6,0.57,Kitchen Helper
2022-03-29,Female,Organised,0,8,1.8,0.72,Laundry Attendant
2022-07-30,Female,Organised,3,7,6.1,0.66,Cook
2019-05-22,Male,Organised,4,2,6.4,0.04,Security Guard
2020-12-21,Female,Unorganised,0,3,7.5,0.63,Maintenance Staff
2021-08-21,Female,Unorganised,0,8,4.4,0.27,Maintenance Staff
2023-02-09,Female,Organised,3,7,6.5,0.94,Cleaner
2019-07-11,Male,Unorganised,0,3,4.7,0.38,Laundry Attendant
2018-01-26,Male,Organised,3,8,6,0.71,Maintenance Staff
2024-01-28,Female,Organised,0,8,6.4,0.44,Housekeeper
2021-02-17,Female,Organised,2,2,5,0.04,Janitor
2020-06-01,Male,Unorganised,0,7,7.9,0.35,Security Guard
2024-12-02,Male,Organised,2,10,0.8,0.56,Housekeeping Manager
2024-08-17,Male,Unorganised,0,10,6.1,0.57,Cleaner
2021-07-15,Female,Organised,1,6,8.7,0.12,Kitchen Helper
2020-04-23,Male,Organised,4,3,6.4,0.33,Maintenance Staff
2020-05-08,Male,Unorganised,2,6,5.6,0.79,Kitchen Helper
2023-01-23,Female,Unorganised,4,8,3.1,0.56,Maintenance Staff
2018-11-11,Female,Organised,2,4,6.1,0.2,Housekeeping Manager
2021-09-04,Male,Unorganised,0,7,7.5,0.79,Security Guard
2018-03-24,Female,Organised,1,4,5,0.56,Kitchen Helper
2020-12-23,Female,Organised,3,1,8,0.61,Laundry Attendant
2020-03-10,Female,Organised,0,2,7.3,0.71,Housekeeping Manager
2020-08-15,Male,Unorganised,4,4,5.8,0.65,Housekeeper
2023-02-04,Male,Unorganised,2,10,7,0.15,Housekeeper
2018-05-31,Female,Unorganised,0,10,6.7,0.12,Cleaner
2022-04-23,Female,Unorganised,2,10,8,0.8,Housekeeping Manager
2022-06-10,Male,Unorganised,4,4,6.8,0.36,Housekeeping Manager
2018-11-27,Female,Organised,4,7,1.8,0.66,Cleaner
2020-06-25,Female,Organised,1,4,5,0.39,Cleaner
2019-12-05,Female,Organised,4,9,5.9,0.38,Janitor
2020-11-05,Female,Organised,1,4,6.8,0.41,Cook
2023-04-25,Male,Organised,1,2,7.4,0.37,Security Guard
2024-06-28,Male,Unorganised,4,10,4.9,0.4,Cleaner
2022-07-16,Female,Unorganised,4,4,5.9,0.71,Maintenance Staff
2024-02-01,Female,Organised,4,1,8.3,0.49,Kitchen Helper
2018-04-28,Female,Unorganised,4,3,1.8,0.49,Kitchen Helper
2019-06-17,Male,Unorganised,0,2,5.3,0.48,Housekeeping Manager
